"Date","RegionName","State","Metro","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-10-31,"Lake County","MT",,1197,1112,0,-0.0133096716947649,-0.0388936905790838,5344
2018-10-31,"Van Wert County","OH","Van Wert",1198,901,0.00334075723830735,0.00445930880713489,0.00558035714285714,9028
2018-10-31,"Perry County","KY",,1199,848,0.00355029585798817,0.00355029585798817,-0.00235294117647059,859
2018-10-31,"Mason County","MI","Ludington",1200,994,0.00302724520686176,0,-0.0569259962049336,16203
2018-10-31,"Jones County","GA","Macon-Bibb County",1201,1051,0.00286259541984733,0.00190657769304099,-0.00755429650613787,7209
2018-10-31,"Meade County","KY","Elizabethtown-Fort Knox",1202,942,0.00426439232409382,0,-0.0737463126843658,6770
2018-10-31,"Adams County","OH",,1203,835,0.00845410628019324,0.0121212121212121,-0.0564971751412429,5114
2018-10-31,"Caroline County","VA","Richmond",1204,1251,0.00160128102481986,0.00160128102481986,-0.00871632329635499,10858
2018-10-31,"Bradford County","FL",,1205,1142,0.00263388937664618,0.000876424189307625,0.031616982836495,6214
2018-10-31,"Ellis County","KS","Hays",1206,1103,0.00181653042688465,0.00363967242948135,-0.000905797101449275,8850
2018-10-31,"Boyle County","KY","Danville",1207,998,0.00402414486921529,0.00200803212851406,0.00503524672708963,8151
2018-10-31,"Austin County","TX","Houston-The Woodlands-Sugar Land",1208,1432,0,-0.00417246175243394,-0.0110497237569061,6811
2018-10-31,"Lee County","GA","Albany",1209,1149,0.00261780104712042,0.00437062937062937,0.000871080139372822,9579
2018-10-31,"Gilmer County","GA",,1210,1296,0.00154559505409583,-0.000771010023130301,-0.000771010023130301,12565
2018-10-31,"Wyoming County","PA","Scranton--Wilkes-Barre--Hazleton",1211,1169,-0.000854700854700855,-0.00848176420695505,-0.0441537203597711,10324
2018-10-31,"Marion County","TN","Chattanooga",1212,1067,0.00281954887218045,0.000938086303939962,-0.0228937728937729,10582
2018-10-31,"Henry County","OH",,1213,983,0,0,-0.0557156580211335,8192
2018-10-31,"Mineral County","WV","Cumberland",1214,941,-0.00212089077412513,-0.00106157112526539,0.019501625135428,9806
2018-10-31,"Park County","WY",,1215,1166,0.00777873811581677,0.00777873811581677,-0.00256629597946963,11013
2018-10-31,"Glenn County","CA",,1216,1350,0.00297176820208024,0.00148367952522255,0.00596125186289121,6436
2018-10-31,"Madison County","GA","Athens-Clarke County",1217,1044,0.00578034682080925,0.00578034682080925,0.000958772770853308,8207
2018-10-31,"Powhatan County","VA","Richmond",1218,1550,0.00258732212160414,0.000645577792123951,0.000645577792123951,10544
2018-10-31,"Dinwiddie County","VA","Richmond",1219,1147,0.00349956255468067,0.00262237762237762,0.00087260034904014,14184
2018-10-31,"Montgomery County","NC",,1220,944,0.00318809776833156,0.00106044538706257,0.0205405405405405,6466
2018-10-31,"Door County","WI",,1221,923,0.00217155266015201,-0.0294426919032597,-0.171454219030521,5943
2018-10-31,"Le Sueur County","MN","Minneapolis-St. Paul-Bloomington",1222,1358,0.0022140221402214,-0.00366837857666911,0.000736919675755343,10906
2018-10-31,"Peach County","GA","Warner Robins",1223,1076,-0.000928505106778087,-0.00646352723915051,-0.0037037037037037,7195
2018-10-31,"Barton County","KS","Great Bend",1224,748,-0.00133511348464619,-0.00133511348464619,-0.00133511348464619,9748
2018-10-31,"Wells County","IN","Fort Wayne",1225,1030,-0.00193798449612403,-0.00675024108003857,-0.0454124189063948,10225
2018-10-31,"Garvin County","OK",,1226,798,0.00125470514429109,0,-0.00746268656716418,10725
2018-10-31,"Custer County","OK","Weatherford",1227,917,0.00218579234972678,-0.00108932461873638,-0.035751840168244,8686
2018-10-31,"Cherokee County","NC",,1228,1116,0,-0.00446030330062444,0.0285714285714286,11949
2018-10-31,"Ashe County","NC",,1229,1143,0.00351185250219491,0,-0.0419111483654652,9960
2018-10-31,"Orleans County","VT",,1230,1299,0.000770416024653313,-0.00306983883346124,-0.11088295687885,9874
2018-10-31,"Codington County","SD","Watertown",1231,1196,-0.00166944908180301,-0.00166944908180301,-0.0619607843137255,8694
2018-10-31,"Toombs County","GA","Vidalia",1232,995,0,-0.00100401606425703,0.0111788617886179,5646
2018-10-31,"Cibola County","NM","Grants",1233,932,0.00539374325782093,0.00431034482758621,-0.0137566137566138,4119
2018-10-31,"Upson County","GA","Thomaston",1234,852,0.00353356890459364,0.00353356890459364,0.00235294117647059,9380
2018-10-31,"White County","GA",,1235,1142,0.00351493848857645,0.00263388937664618,-0.0239316239316239,17262
2018-10-31,"Union County","MS",,1236,1092,-0.00364963503649635,-0.00364963503649635,0.0311614730878187,1547
2018-10-31,"Baker County","FL","Jacksonville",1237,1254,0.0032,0.00239808153477218,0.0153846153846154,4698
2018-10-31,"Lewis County","NY",,1238,1300,0.00541376643464811,0.0093167701863354,-0.0083905415713196,7918
2018-10-31,"Elmore County","ID","Mountain Home",1239,996,0.00201207243460765,0.00100502512562814,0.00606060606060606,9857
2018-10-31,"Edgefield County","SC","Augusta-Richmond County",1240,999,0.00604229607250755,0.00402010050251256,-0.0885036496350365,8156
2018-10-31,"Anson County","NC",,1241,826,0.00242718446601942,0,0.027363184079602,8913
2018-10-31,"Clay County","IN","Terre Haute",1242,835,-0.00119617224880383,-0.002389486260454,-0.0701559020044543,11200
2018-10-31,"Logan County","KY",,1243,854,0.00352526439482961,-0.00582072176949942,-0.00466200466200466,6031
2018-10-31,"Juneau County","WI",,1244,902,0.0044543429844098,0,-0.0383795309168444,9909
2018-10-31,"Grimes County","TX",,1245,1289,0.00311284046692607,0.00233281493001555,-0.00463320463320463,3072
2018-10-31,"Somerset County","MD","Salisbury",1246,1238,0.00161812297734628,-0.000807102502017756,-0.0096,14996
2018-10-31,"Jackson County","OK","Altus",1247,715,-0.00139664804469274,0.00140056022408964,-0.0492021276595745,9279
2018-10-31,"Monroe County","GA","Macon-Bibb County",1248,1245,0.000803858520900322,-0.00240384615384615,-0.00638467677573823,6963
2018-10-31,"San Jacinto County","TX",,1249,1262,0.00317965023847377,0,-0.0186625194401244,7488
2018-10-31,"Boone County","IA","Boone",1250,1051,0.00286259541984733,-0.0037914691943128,-0.0331186752529899,10089
2018-10-31,"Winchester City","VA","Winchester",1251,1354,0.00445103857566766,0.00519673348181143,0.0211161387631976,6432
2018-10-31,"Stephens County","GA","Toccoa",1252,1022,0.00689655172413793,0.00988142292490119,-0.00680272108843537,8235
2018-10-31,"Randolph County","IN",,1253,748,0.00268096514745308,0.00133868808567604,-0.0335917312661499,9629
2018-10-31,"Cheboygan County","MI",,1254,941,0.00426894343649947,0.00212992545260916,-0.0328879753340185,9915
2018-10-31,"Jefferson County","ID","Idaho Falls",1255,1150,0.00524475524475524,0.0105448154657293,0.0087719298245614,9392
2018-10-31,"Mille Lacs County","MN","Minneapolis-St. Paul-Bloomington",1256,1294,0.00232378001549187,0.0046583850931677,0.016496465043205,8456
2018-10-31,"Franklin County","KS","Ottawa",1257,963,0.00103950103950104,-0.00207253886010363,0.00837696335078534,7426
2018-10-31,"Cherokee County","AL",,1258,945,-0.00211193241816262,-0.00421496311907271,-0.0512048192771084,7002
2018-10-31,"Cleburne County","AR",,1259,992,0,-0.00401606425702811,-0.0158730158730159,7924
2018-10-31,"Charlevoix County","MI",,1260,1144,0.00438981562774363,0.00527240773286467,-0.0197086546700943,22890
2018-10-31,"Posey County","IN","Evansville",1261,1017,0,-0.00586510263929619,-0.0230547550432277,9427
2018-10-31,"Iosco County","MI",,1262,864,0.00232018561484919,0.00115874855156431,-0.0136986301369863,19611
