RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10
274666,New Tampa,Florida,691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18e4,198100,194900,192200,188200,186800,182e3,181400,195700,213800,209600,201500,19e4,181200,190100,185400,189100,171300,174e3,152900,153500,135700,170800,170800,173700,156800,164100,182800,185400,201100,210500,218800,224400,204800,209600,214800,231500,239e3,228700,230100,197900,211600,205600,244800,227300,242500,236700,250800,252900,254700,253e3,247e3,238200,246200,232700,278300,266100,270800,256800,245400,248300,233800,249300,244500,252200
403513,Berkeley,Colorado,692,288100,268700,259100,244400,253900,263200,260100,264300,266400,272400,262900,260400,239800,252500,236100,265700,271800,276e3,277700,270800,277800,264e3,274300,282600,288600,271e3,255900,249100,257e3,265200,267400,262900,270900,274600,312200,303800,305600,269100,274900,284200,278200,276400,265700,285500,304900,312600,312500,287300,274400,273900,280300,293800,288200,298800,301e3,286800,327500,336900,347700,307700,311900,329600,314100,303100,298700,326100,333900,353600,344900,365900,332400,404300,372200,407e3,342500,367400,365200,371600,381600,373100,379200,367200,406600,4e5,411800,386500,410400,421500,447e3,438600,445800,425600,447500,418600,433700,429600,470600,476800,471100,455200,453700,452100,448e3,463600,464200,488400,484300,492700,482400,469500,493700,515400,523500,512500,508900,512900,529200,525300,530400,519400,531200,533400,540800,558500,588100,583e3,606700,581500
187980,Sugar Hill,California,693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194300,199400,206600,209900,214200,222500,228300,234500,238100,241400,248700,242300,250700,248300,253100,251800,258600,264200,268600,266200,265700,267800,275300,285200,278100,277300,276700,287200,288200,288900,283900,291900,288800,292800,288500,292500,299500,299e3,304e3,298e3,304700,299700,303600,302800,309300,312300,303800,309700,307400,326900,326100,333e3,343900,344700,343700,324700,329500,326800,326200,319800,332600,344600,348700,356700,358500,370300,362500,358800,359200,362200,359700,360400,360300
403517,Cheesman Park,Colorado,694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376800,387100,327200,307700,316600,341e3,340700,333100,410500,419400,405600,304100,319800,318e3,317300,297100,325900,312e3,299500,368e3,385e3,390500,300500,290700,308300,322300,323100,301800,291800,326800,355100
251437,Newport Hills,Washington,695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586600,499500,508100,503600,535400,536800,533900,521300,562800,524600,546e3,520500,563700,586500,584200,618400,619900,617300,635900,665700,660900,637800,610400,722800,737800,776e3,727600,746e3,732500,791300,713e3,755300,67e4,744100,765600,857600,937300,879e3,850700,780100,799700,740100,732e3
213495,Morrell Park,Pennsylvania,696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171100,172900,173e3,181100,183e3,184e3,177100,176400,179900,185800,189200,188900,188200,180100,180700,184600,187500,194e3,201300,199100,193100,174800,185800,191200,201100,198100,197100,196300,202300,208200,
268979,Emerald Hills,Florida,697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241e3,261600,261100,253800,249900,260400,258400,247800,259800,262100,269900,236100,238800,234300,264e3,271900,281e3,279900,307100,322400,305e3,283500,303e3,257300,270900,244600,288700,267700,249900,265300,276200,280300,267600,263200,293800,305200,302200,270700,268600,268900,285400,267700,266900,253e3,296700,303100,324900,287800,291400,314500,320700,310400,335800,325200,329900
415988,Independence Village,Ohio,698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90800,90200,102900,94800,97500,104600,118e3,124e3,12e4,122600,12e4,123300,120100,121500,123600,125700,124900,124700,126700,127200,13e4,131800,135100,134400,132400,136e3,134700,133700,127e3,129200,137500,140700,145e3,141300,146700,142100,141300,139800
271924,Moran Prairie,Washington,699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183100,191300,194700,194100,188700,179500,199700,208300,217400,191600,194300,197300,220500,219300,231e3,218600,222200,204700,212300,223800,231200,226100,211e3,204300,197900,205200,218800,232600,222900,219900,219200,231600,236800,245700,242400,242600,249200,249800,241e3,224e3,222700,228900,243300,235900,231700,217900,217500,246900,245e3,254300,226900,246e3,245800,258e3,240700,241300,240600,254400,267300,274900,272800,257600,247600,253600,271300,268700,258300,265400,274300,291100,275100,289700,285700,297600,286400,291800,294700,311900
271819,Broadview,Washington,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602100,599700,670100,667900,649700,622900,601400,622100,685300,675e3,651300,622700,695500,740900,716800,707600,702400,674400,698900,721200,765400,742500,756900,820900,860600,862100,774200,764400,731e3,735800
343862,Five Points,North Carolina,701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385700,383600,342600,378100,400700,438800,410500,417200,369600,372700,371100,404400,350200,347400,358800,398400,382500,399900,397300,421400,359300,386200,404700,425800,407200,36e4,380200,388600,406400,423100
121779,Riggs Park,District of Columbia,702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378200,373300,372200,379600,382200,387300,384e3,378700,380500,376200,395600,390200,407800,410400,405200,420800,441400,459100,443800,440200,465e3,476e3,470300,452500,461e3,468400,470200,453900,431400,407200,414900,438200,456900,497600,467700,500800,444400,479800,450500,522700,
125500,Oak Hill,Florida,703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74500,72700,96300,90900,92500,97100,104100,120500,101200,104e3,87800,93600,82300,84e3,82500,95900,98200,95700,100200,112400,117400,120700,120500,123500,117600,104800,109700,102300,114800,111600,134e3,127600,141500,134700,131500,147700
415986,Walnut Heights,Ohio,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86100,84600,90800,92100,95300,92100,97e3,100500,100600,97100,99700,103400,109600,113100,113100,110400,110500,115600,113800,113400,116500,120100,122400,106600,110500,107500,116300,117700,120100
207245,Multnomah,Oregon,705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294800,279600,294200,301300,327300,278200,268200,258e3,306800,317900,312800,327700,333800,343700,323600,310800,313500,317100,337100,339200,323400,329e3,339900,342200,307600,294600,306900,341800,342900,339900,324700,331200,345300,365100,376400,366200,381900,393500,394800,371900,362100,369600,391200,407600,409400,373800,357300,367900,390800,413100,403600,415700,405100,420700,412600,427900,466200,481400,454700,429100,431200,444100,416400,425500,427800,438700,393800
246029,Northside,Virginia,706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165500,159200,15e4,160700,166700,163700,161800,159400,161800,167100,174200,180900,183400,190900,197e3,204500,194800,182700,193300,195800,215100,206200,232e3,211400,195100,174200,178300,196800,181200,207500,
125457,North Andrews Gardens,Florida,707,,,,,,,137700,134200,133400,130600,119500,112400,98700,98600,93100,102e3,98500,95500,95100,86900,87400,85200,89700,95500,95400,95900,94600,98700,103200,102200,100600,92100,9e4,82600,93400,103e3,103900,95200,82400,90400,92600,95800,94700,93700,95900,93500,93300,94300,98100,99900,103500,99600,100700,101700,97200,106500,111800,120700,121100,121100,127800,129600,127600,139700,139600,145100,136200,139800,137900,135600,132e3,143800,144e3,145300,137100,139400,142100,140400,143500,146900,144400,144800,147500,158700,164100,169300,169400,167200,161500,165300,168500,169300,173600,177100,180900,185300,185600,189700,185300,197900,199300,202100,189800,190300,189700,196600,204800,206300,206600,200600,209800,218600,232100,230600,23e4,226800,231800,227300,230800,225200,229400,227e3,228800,243800,253700,260200,250500,240400
272898,Beaverdale,Iowa,708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134400,117600,114100,120200,119500,118600,124200,122100,127200,130700,136800,136600,122500,119200,108600,113700,109500,124500,131700,131e3,132e3,124500,131e3,120300,122100,123100,129300,131400,132e3,133100,141900,142500,139200,124400,128300,126700,129700,124500,125e3,127500,124600,133100,140100,140300,135600,129300,133200,135100,135300,138500,143800,143800,147900,145200,148e3,152e3,148900,151500,145600,150200,150800,140500,131200,130100,139400,147300,148300,148200,157200,158700,159600,160300,162e3,161100,153800,150800,153900,151700,152200,153200,162300,171200,173600,171100,165200,170100,169800,169e3,164900,163600,170800,166700,170400,173300
270238,North Hampton,Missouri,709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135800,143100,146100,141800,149200,145800,142700,140300,139700,143200,145300,150500,156e3,151300,149500,149500,147100,144500,151600,158500,162700,157800,154700,160300,150100,151100,153100,163900,173900,168300,170600,162400,178900,162600,159600,143400,152100,151600,153e3,158500,164500,166300
17799,Dormont,Pennsylvania,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149600,154900,134700,144e3,142300,150100,147e3,150900,140200,134700,151400,156200,159200,138100,143700,140900,140100,132600,148700,153300,164200,152500,169600,174600,188600,173200,168e3,166500,159900,150900,
763978,Empire Ranch,California,711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307200,329100,324900,341900,327100,313900,324400,308800,324200,309100,312e3,340900,342900,392e3,398700,458700,429600,428500,403400,421100,401800,362300,346100,363900,395900,392100,392600,402e3,432800,444e3,429400,409300,396600,403200,405800,403900,403500,414600,402100,410100,406e3,418e3,409100,426400,435100,473900,473100,462900,428300,414200,423400,431500,433e3,438600,453e3,448300,469400,454e3,478e3,464700,488500,485700,491600,477600,454800,447700,469600,500100,498900,496600,470900,485100,480200,509600,516900,515500,515500,501800,515800,538200,515800,528600,521200,577700,56e4,557300,535200,561e3,555100,
342745,Aurora Hills,Colorado,712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176600,176100,176100,183500,185100,197300,201e3,200800,209600,202700,209400,205e3,217800,225200,227100,223200,231500,230100,24e4,241e3,245600,251100,261200,263900,260200,243600,253900,251600,257e3,248100,250100,258600,265300,279100,252100,256600,253500,280300,278400,275e3,266400,258500,239800,260200,292800,307e3,305300,287900,315700,317800,324400,302800,287300,287900
13621,Rumford,Rhode Island,713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253100,246300,258300,245900,232200,226700,237800,236500,237700,235600,251100,254900,230900,203100,202300,233200,267300,265200,262700,249400,284100,284900,278900,251100,224200,237e3,214400,255200,253100,274200,256100,267700,
403405,Pine Hills,Georgia,714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157900,171900,192400,186900,175400,149e3,149900,160100,159300,158300,152300,155300,161600,170400,177300,180100,192600,188900,183e3,167600,169700,175800,179300,177700,174600,169800,170200,178500,190500,186300,186900,178400,192400,222600,230900,224700,194400,188100,190500,189300,195800,197600,202300,203200,196600,198800,197400,209e3,222900,252300,248300,230600,203300,211800,219400,264200,262400,263200,226e3,229300,231800,243400,237700,234600,232500,239900,245200,245600,243e3,245300,
416371,Central Oak Park,Florida,715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76400,78300,71300,78e3,78100,84900,86800,84600,85300,84500,89500,86800,92400,85500,90800,92300,102500,105e3,106800,95700,96100,94200,109900,116800,123400,118800,120500,126700,125500,126200,130100,133100,138400,146700,151200,150400,134400,143400,142700,149100,143600,142800,148100,162700,176700,178e3,175200,159300,166500,158400,165700,
114839,Richmond Heights-East Richmond,California,716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458200,453200,444200,379e3,402700,383300,436300,474100,490600,495700,446900,471700,445300,490200,482900,534900,485100,52e4,537700,571700,530400,537600,556500,589500,55e4,514800,493500,514900,526800,555500,582400,604800,613100,636200,637800,584700,557100,559200,618200,586600,592700,550100,586100,617600,678100,683500,667800,672300,701500,700100,635e3,619600,623700,646e3,647500
