RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10
53148,Manteca,California,356,265100,262800,268e3,238800,231700,216200,211400,192500,190600,182900,185100,171200,177100,171300,174700,168900,171600,168800,171200,166400,167e3,168900,175200,169900,169500,174700,180500,178200,171500,167400,165500,165200,173400,178700,180400,169900,164900,160500,169300,171100,169300,166100,166100,164800,161200,158800,159900,161200,160600,164700,164e3,167500,168400,170700,177800,184200,197600,201700,215300,208800,216700,209200,225400,231300,244400,250100,256400,260600,261200,263300,264900,269e3,269700,273e3,271500,271600,273400,283900,286300,286600,280500,283100,282800,287100,290600,29e4,294500,297e3,306e3,308100,309300,298900,307700,306400,321500,322500,332400,338500,342500,347300,344900,339300,334500,337700,343e3,347900,356400,352900,356300,353e3,359800,360100,364100,364400,371300,368100,376800,376e3,387600,387500,398200,401800,416800,417400,417500,413800,401700,
51239,Camarillo,California,357,512e3,509900,469300,445500,435800,441100,439300,429300,426900,431800,426800,435e3,427800,419500,403400,41e4,419400,431e3,418800,419e3,406200,407600,399600,419900,421e3,434200,430900,421800,408300,394500,404700,421700,427e3,431400,413900,411800,399e3,387500,380200,374200,382100,378900,380900,393600,397300,405900,395e3,375400,359200,366800,371100,369e3,363400,390700,408600,418e3,411300,409800,412900,425e3,435100,450400,442700,452e3,455300,482100,487700,478800,459600,472100,491100,494100,479800,473700,482300,480700,481200,501800,513800,512900,497700,493800,496400,498400,502900,505200,513600,515400,523e3,516500,514600,517200,526300,530900,534100,538200,552500,551e3,548400,539400,538200,537500,534100,547900,554200,565900,558200,555700,551400,545300,548e3,557100,558700,562100,559e3,595e3,613100,634e3,602200,602700,589100,603100,601700,605500,603600,595900,603100,615300
45243,Farmington Hills,Michigan,358,2e5,175400,172400,165900,166600,167300,167900,162800,156200,150100,142900,152400,145700,137600,116900,125200,129100,139900,138700,142200,139500,142500,148200,141300,136100,131300,144500,143800,136100,127500,129900,137400,138600,131400,131600,128200,132100,122200,118400,112700,108200,116400,127600,143e3,137500,133100,123500,126200,128500,132400,134500,132300,138300,141e3,157700,161200,162200,153e3,148700,150700,148600,153900,154800,158700,166800,175300,18e4,178900,181100,184100,188700,191e3,181e3,183e3,168900,178900,176300,188800,197900,197900,197200,190100,187800,189100,189400,192500,196500,195500,199200,199500,203600,211500,211600,216700,215200,217400,218700,214300,209500,211600,216100,220300,217800,217200,221800,220400,230900,228500,232800,231600,246900,254e3,249700,241900,239300,235200,236300,231800,242200,248e3,249800,240900,236900,229300,235400,238600,249500,249400
7101,Slidell,Louisiana,359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149500,146300,130700,124600,121200,122900,126500,124300,121700,122700,129900,132900,134300,133300,133600,133700,139300,139700,141200,136100,136700,135400,137e3,138100,139800,142300,143200,142500,14e4,137700,137600,140100,144300,146600,141700,14e4,140800,139500,141600,143700,152400,153200,154600,152800,152700,151600,149600,148e3,145600,147300,154700,154700,159200,154700,154900,156800,159900,156e3,145800,145400,154900,158e3,155e3,152200,
50742,Apple Valley,California,360,218600,206900,207e3,190100,178100,158600,154300,148600,146100,136e3,127600,125200,122300,118700,109800,101800,96500,102500,108400,112300,115900,114500,126600,124300,126e3,118700,118200,119400,115500,119100,119300,12e4,112900,113400,117900,119500,117400,109800,107900,107300,108900,108400,105600,103500,102100,104500,109800,113500,111900,110300,113200,116600,118900,122100,122900,128100,124500,126e3,122900,129500,132300,138e3,139e3,142800,143100,149200,151100,155e3,153700,156600,156300,158500,158400,160200,161800,162200,168700,169500,179500,195300,186100,186500,171700,181600,181e3,180100,183100,186100,186200,187500,182900,185500,185600,187200,190800,192800,203200,203600,206500,201200,209600,209600,206900,200800,203500,208100,214200,216300,223200,224800,226e3,226700,227500,233200,240400,239e3,229600,228200,231800,241700,248700,248800,246700,237100,235900,242500,241200,244e3
126423,Town 'n' Country,Florida,361,185200,175500,187700,190100,177700,165e3,141e3,139300,137e3,137300,128300,121100,114700,107900,105400,106800,112200,107700,102700,98400,1e5,109400,106200,106600,99e3,103800,103e3,109300,89100,76400,66200,85e3,86400,86700,81e3,83500,8e4,73100,70700,74600,81600,82900,85800,85800,90700,91900,94100,92400,88700,87900,93200,93100,93400,89500,87500,86400,88e3,94400,99700,98700,100900,101500,106800,114400,117100,127e3,123800,125500,118100,118600,118200,117300,108200,107e3,111800,118200,121e3,118900,119e3,119700,119900,120700,123800,125900,127800,130400,131400,134600,127500,126200,128500,139100,147800,151300,151e3,153200,165300,169100,167900,160500,161700,162900,161700,157500,157100,157400,163e3,166800,168600,169600,168200,184300,183200,187800,174800,182700,184800,196900,195300,201e3,192300,198600,196100,202400,194700,194600,193200,
34308,Tomball,Texas,362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187500,189400,187900,186400,186700,187300,189700,189400,191300,189400,188800,188300,196800,197900,2e5,196300,196900,197900,198400,200600,198900,200900,203200,206300,205e3,201500,201300,205400,208e3,217700,211e3,210400,200300,213400,213900,226700,220500,219400,209200,206900,209800,209400,210100,212800,217400,222600,225200
38529,Fishers,Indiana,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208600,208e3,216e3,220600,218600,213300,212600,212400,208300,204700,206400,215200,216300,218900,218500,222700,220500,227900,221300,232700,232600,245e3,238300,239e3,241400,244500,243e3,238900,238e3,232900,234400,243700,262300,27e4,272600,268200,270600,263700,261500,260400,
50764,Arlington Heights,Illinois,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255800,248e3,245600,273600,291600,290700,279200,274500,273500,282300,268200,277300,278200,300900,306300,305800,297400,292e3,290800,277e3,271500,274900,296700,281500,288600,282700,306700,300500,303e3,299500,298400,297300,303500,304200,308600,299200,293500,298200,303300,313200,311200,310500,315400,300200,288200,292900,327e3,350900,350600,339e3,328800,314900,303100,301200,303100,310500
6365,Oviedo,Florida,365,257700,252300,241900,238100,245600,255500,264500,248600,226800,221900,231e3,242600,228600,205800,189100,187500,199900,194200,199900,201200,207500,197700,196e3,21e4,205700,199100,187300,188300,182800,175900,168800,171100,174500,176700,164100,166500,165400,166e3,152100,158900,162500,177600,175500,193700,188500,203900,200200,204900,201300,190200,197200,191100,199300,185200,191100,182700,188300,197700,202700,206500,197300,203600,211200,213e3,218900,215700,221400,222200,219800,213400,213700,217900,227200,229300,224700,222400,216400,235500,233300,232200,222100,223300,238700,242400,241400,228100,223500,227e3,228200,234100,237600,243e3,242900,253200,260300,259800,246700,240300,256e3,262900,269200,256200,252500,252900,254400,261900,256500,256900,263600,274200,277700,275500,275600,273500,276600,268100,272100,273900,295800,307e3,311800,308200,311e3,301500,297800,287400,292500,
