"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-10-31,274742,"North Scottsdale","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Scottsdale",28,560700,0.00501882057716437,0.0124593716143012,0.0464725643896977,,,"2006-03","2006-Q1",667000,-0.159370314842579,"2005-06"
2018-10-31,275237,"Roosevelt","CA","Fresno","Fresno County","Fresno",29,180800,0.0134529147982063,0.0414746543778802,0.142857142857143,,,"2006-07","2006-Q3",242300,-0.253817581510524,"2005-02"
2018-10-31,267971,"South Mountain","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",30,190600,0.0100688924218336,0.0319436924742826,0.124483775811209,,,"2007-01","2007-Q1",207200,-0.0801158301158301,"2006-01"
2018-10-31,273565,"East San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County","San Jose",31,785100,0.00409259496099245,0.0110753380553767,0.134701546466252,,,"2018-10","2018-Q4",785100,0,"2018-10"
2018-10-31,193587,"Bushwick","NY","New York-Newark-Jersey City","Kings County","New York",32,762500,-0.000524315113383143,-0.0121777432309885,-0.0128171931641636,,,"2018-04","2018-Q2",790900,-0.0359084587179163,"2017-09"
2018-10-31,194379,"East Flatbush","NY","New York-Newark-Jersey City","Kings County","New York",33,528900,0.0130243248419843,0.0297897196261682,0.12964545066211,,,"2018-10","2018-Q4",528900,0,"2018-10"
2018-10-31,275456,"South Side","TX","Corpus Christi","Nueces County","Corpus Christi",34,184800,0.00271296798697775,0.0109409190371991,0.0387858347386172,,,"2018-10","2018-Q4",184800,0,"2018-10"
2018-10-31,28380,"Alief","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",35,142800,0.00634249471458774,0.0340333091962346,0.153473344103393,,,"2018-10","2018-Q4",142800,0,"2018-10"
2018-10-31,10957,"Corona","NY","New York-Newark-Jersey City","Queens County","New York",36,544000,0.00647548566142461,0.0143576356516875,0.0810810810810811,,,"2018-10","2018-Q4",544000,0,"2018-10"
2018-10-31,273555,"East Memphis-Colonial-Yorkshire","TN","Memphis","Shelby County","Memphis",37,122400,0.00823723228995058,0.0303030303030303,0.0997304582210243,,,"2018-10","2018-Q4",122400,0,"2018-10"
2018-10-31,270945,"Sunset Park","NY","New York-Newark-Jersey City","Kings County","New York",38,546900,0.00201539025283987,-0.00436919716002185,0.100845410628019,,,"2018-06","2018-Q2",550500,-0.00653950953678474,"2018-04"
2018-10-31,273088,"Bullard","CA","Fresno","Fresno County","Fresno",39,284000,0.00317908866125044,0.00959829363668681,0.0452705189547295,,,"2006-04","2006-Q2",351800,-0.192723138146674,"2004-10"
2018-10-31,275501,"Southwest Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",40,182800,0.0043956043956044,0.0183844011142061,0.156230234029095,,,"2018-10","2018-Q4",182800,0,"2018-10"
2018-10-31,193406,"Borough Park","NY","New York-Newark-Jersey City","Kings County","New York",41,870700,0.0106790481717934,0.0367944748749702,0.0796032238065716,,,"2018-10","2018-Q4",870700,0,"2018-10"
2018-10-31,193285,"Bensonhurst","NY","New York-Newark-Jersey City","Kings County","New York",42,798700,0.00427511630831133,-0.00386630082314792,0.0235806740997052,,,"2018-06","2018-Q2",805100,-0.00794932306545771,"2018-05"
2018-10-31,276246,"Central City","TX","Corpus Christi","Nueces County","Corpus Christi",43,78700,0.00510855683269476,-0.00253485424588086,0.0301047120418848,,,"2018-05","2018-Q2",79700,-0.0125470514429109,"2018-04"
2018-10-31,276652,"West San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County","San Jose",44,1625800,-0.00129000552859512,-0.00859808524910055,0.131621076077121,,,"2018-06","2018-Q2",1646600,-0.0126320903680311,"2018-05"
