RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10
59,Washington,13,283900,277700,269700,262800,258800,258500,256700,256e3,253500,254900,256600,259400,254900,248800,239200,237500,235600,237600,239100,240800,240300,241100,246200,250700,250500,245500,240900,236900,239800,241600,243600,239100,237600,240100,240300,241100,235600,230900,225e3,220800,219300,219300,219900,219100,218100,219400,219100,217600,214600,218300,222400,229e3,23e4,232100,233900,237e3,24e4,242900,244100,243700,244200,245900,248200,248500,250400,253e3,254400,253500,252400,251600,252500,253500,253800,252600,251700,253300,256200,257700,259200,260200,260200,260600,261800,266300,268300,271300,272700,273700,272600,271900,273300,276800,279100,283300,284800,285500,285900,286700,289700,291700,294500,297700,298700,300400,302700,306200,311700,313200,315100,314700,316100,319100,320400,321700,323200,326900,332100,336200,338900,345400,350300,355300,353900,351500,348200,344800,344700,341e3
26,Massachusetts,14,314100,309600,297500,291600,288e3,287900,285100,284600,276300,270900,262200,266300,264700,266900,262800,266600,269600,274700,276300,277300,271900,275900,279300,289700,289100,288500,281600,282700,284400,291e3,289500,288800,286400,285200,275200,266100,258600,262300,270200,280300,285800,285700,283900,280300,275600,271500,267700,27e4,271300,275900,277e3,283100,287500,286300,281800,279400,281e3,284900,276600,28e4,279800,292200,292400,297800,300800,304500,305100,303200,298900,296600,300400,312600,318700,320300,319e3,319300,320400,318700,316800,317200,316900,32e4,321900,331800,332800,329800,321700,320400,324200,325800,326300,326700,326100,328400,327400,328800,326600,328500,327900,329900,330200,331700,332800,335400,337800,338600,339e3,341400,343500,345e3,345100,346700,347400,347e3,349200,353600,357400,358300,356400,366400,368700,374300,369e3,372e3,371100,370400,367200,
22,Indiana,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118100,119600,120300,123100,123800,124400,123900,122100,121500,122e3,125200,127900,129300,130500,129500,127900,126100,125300,119800,115e3,111500,113900,116100,119400,121900,124e3,126200,127300,128600,128900,13e4,129900,130800,131e3,132600,133600,134400,134e3,132900,130600,131600,132400,135600,136600,136500,136e3,134800,134900,135600,137e3,138400,138900,138600,139200,142200,143500,144200,142800,142800,143300,143100,144e3,144200,144700,145500,146800,151500,153100,154900,152700,152900,151900,153300,155700,159500,
8,Arizona,16,220200,214600,208800,202600,194900,187900,180200,174e3,165600,157500,147700,139900,133100,128400,125200,125500,128200,131300,133600,134200,135800,135500,135300,134700,135100,136100,134800,133700,130700,129e3,127100,125900,124500,121200,119300,118400,118300,117800,115900,116400,116e3,115900,116900,118100,122400,124300,127400,127900,131200,135e3,141e3,145200,147700,15e4,150600,153600,155900,16e4,161e3,162e3,163100,166600,169400,172600,174600,176200,176800,177600,178900,18e4,180600,179800,180300,180200,180900,180400,181100,181800,183300,184e3,185100,185700,186900,188600,19e4,191700,193800,196100,197200,196900,197600,199300,200800,204800,206300,207800,206700,208400,210300,212200,213e3,215e3,215800,217e3,217600,219500,220900,223100,224500,226500,227500,228100,229400,230500,233300,234300,237200,239700,244e3,245800,244800,243e3,241100,242300,243900,245200,245300,245300
53,Tennessee,17,118800,118600,117600,116700,116500,116e3,115e3,113200,110700,107900,107700,109800,111e3,111300,109800,111900,112500,114e3,114100,115100,115700,115e3,114600,113200,114200,114600,115800,114900,112100,110400,109e3,110200,110500,113500,115600,115700,114500,112600,111600,109600,109600,110600,111300,111200,110900,112700,112200,112100,110900,113100,113800,113900,112700,112500,112800,114200,115300,117500,117700,118200,117600,119200,120600,122200,123400,122900,122700,121700,122600,122800,122200,123800,125400,127600,127600,128200,130100,130800,131e3,131600,133200,135600,136100,136700,137100,137400,138e3,138e3,138800,139e3,14e4,140700,141500,141200,142500,143400,144300,145e3,145900,147e3,147800,150400,151900,155e3,154800,156400,157100,158500,158600,158900,158300,16e4,160500,163900,165400,167800,169700,172e3,175300,177500,180100,178900,176900,174700,173200,173600,173500,
32,Missouri,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127600,128800,128700,128400,13e4,130200,129800,129800,127100,130100,129400,134600,134600,137200,138800,139100,139700,139200,139300,139e3,138600,138600,137200,137600,137300,139400,140400,141400,141100,140100,140900,142600,145300,148e3,149700,150400,150700,151600,151400,151500,150300,150800,150500,151300,152100,153400,153600,154200,153600,154e3,153900,154100,156100,156500,157600,156100,156400,161600,161500,161500,156100,156600,156900,157200,158e3,158800,160700,163700,166600,174100,174100,172900,167100,164800,164500,163600,165800,
27,Maryland,19,269700,268e3,263200,256300,251800,252700,253400,253300,251600,247800,247e3,247300,251100,250500,242900,235900,226700,230700,229600,233100,229100,232400,233400,233200,231100,226900,222300,214200,207800,202500,200800,204400,206800,207800,214100,224700,217500,203e3,180700,177300,179e3,190500,203600,206500,210200,209300,214700,211900,215300,217400,222900,224900,223500,223100,217700,222200,224300,226700,228400,223500,225600,224200,230400,232800,238600,240700,239500,234500,234500,235500,238e3,236800,240700,239200,241900,239800,240800,240200,241200,240900,239900,240500,239300,237100,235700,238e3,238800,243200,242800,243600,241100,240400,241100,242200,241300,245400,246100,249800,248600,249300,252500,253700,252400,254800,255800,257300,255100,257e3,258800,259300,258600,258100,256500,255900,259800,261600,264300,264100,267900,267200,270100,269300,269900,266800,265e3,267100,267600,
60,Wisconsin,20,157e3,153200,152100,148500,148400,146800,146e3,145500,145700,144300,143100,141700,141200,138900,137100,136100,136300,136700,137700,139e3,138800,140400,139700,142200,143e3,141300,138200,135500,135900,136700,135400,134600,134500,137100,140300,140100,138800,133800,133300,132100,133100,133400,134100,135800,135800,134400,134100,133400,133100,132800,133200,134900,136100,138e3,137600,137900,135100,137900,140800,143800,143800,144e3,144e3,145700,145800,147900,148100,147100,145300,145e3,143e3,141300,141500,142200,145400,144900,147900,148900,150700,147600,148100,148500,152700,153300,153800,153800,156200,156200,156600,154700,154200,154600,154600,154900,153900,155300,158500,16e4,159600,159e3,158500,158900,158800,160400,161600,163e3,163900,163800,163100,162400,164e3,164600,165600,165400,165200,166600,167100,168100,168200,17e4,172300,173900,173800,174400,173e3,171600,171100,
31,Minnesota,21,197300,193200,189100,184200,183300,182400,183700,182700,181400,178e3,175200,171800,169e3,164200,161300,159500,160700,163100,165900,167200,167100,166600,166100,164600,163500,162200,160500,158100,158700,159300,159300,158900,158800,160400,157300,156800,151800,149400,144500,144300,145300,146700,146700,147100,147500,147900,148100,147700,147500,147e3,148600,151500,155400,159e3,160700,161800,163e3,164600,163700,162500,161100,162500,164400,168e3,171200,174400,176e3,177700,178300,179e3,178e3,179600,179900,181e3,180600,181100,181700,183500,183400,184200,185300,188700,192100,197e3,200800,204700,204e3,203e3,200200,199500,199200,199e3,199800,201800,203400,205600,206600,207600,206500,205600,205500,205200,206600,208700,209800,208300,207600,207600,209900,210600,212200,212900,214200,214400,215300,216400,217500,218700,222200,226400,228400,229200,228400,229e3,227500,227200,226e3,
10,Colorado,22,207e3,202800,200400,198500,200900,202500,202500,200100,195400,19e4,183700,181700,181100,183800,184700,188500,192300,198700,200300,201800,2e5,202400,202200,203800,202200,201200,199100,197600,201e3,205e3,208400,208e3,205900,205900,201500,199400,195100,194100,193300,192900,193900,194500,196900,197100,199200,198300,198900,196e3,197100,200700,208300,213800,217400,219e3,220900,224e3,226e3,227100,225800,224900,224800,227500,229900,233200,235100,236200,237300,237400,236800,235700,235200,236400,238100,24e4,241400,242500,244500,246100,248200,249800,254400,256600,260100,260600,263600,265e3,267500,267900,269200,270500,272600,274800,277400,280500,283900,286600,287700,287500,288800,292600,297200,299800,301100,303400,305500,308500,310600,314700,316600,318600,318600,320200,320400,323100,325600,330500,334600,341600,344900,349700,351100,355800,357300,355800,353100,353600,355600,357900
